name,label,predicateType,group,limit,attributes,concept,required
GEO_ID,,,,,,,
B24126_438E,"Estimate!!Total!!Multiple machine tool setters, operators, and tenders, metal and plastic",int,B24126,0,"B24126_438EA,B24126_438M,B24126_438MA",NA,NA
B20005E_045E,"Estimate!!Total!!Male!!Other!!With earnings!!$55,000 to $64,999",int,B20005E,0,"B20005E_045EA,B20005E_045M,B20005E_045MA",NA,NA
B06004HPR_002E,Estimate!!Total!!Born in Puerto Rico,int,B06004HPR,0,"B06004HPR_002EA,B06004HPR_002M,B06004HPR_002MA",NA,NA
B25032C_006E,Estimate!!Total!!5 to 9,int,B25032C,0,"B25032C_006EA,B25032C_006M,B25032C_006MA",NA,NA
B05007_065E,Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1980 to 1989!!Not a U.S. citizen,int,B05007,0,"B05007_065EA,B05007_065M,B05007_065MA",NA,NA
B19056_002E,Estimate!!Total!!With Supplemental Security Income (SSI),int,B19056,0,"B19056_002EA,B19056_002M,B19056_002MA",NA,NA
B20001_017E,"Estimate!!Total!!Male!!$45,000 to $49,999",int,B20001,0,"B20001_017EA,B20001_017M,B20001_017MA",NA,NA
B25087_019E,Estimate!!Total!!Housing units without a mortgage!!Less than $100,int,B25087,0,"B25087_019EA,B25087_019M,B25087_019MA",NA,NA
B24126_439E,Estimate!!Total!!Tool and die makers,int,B24126,0,"B24126_439EA,B24126_439M,B24126_439MA",NA,NA
B06004HPR_003E,Estimate!!Total!!Born in the United States,int,B06004HPR,0,"B06004HPR_003EA,B06004HPR_003M,B06004HPR_003MA",NA,NA
B20005E_044E,"Estimate!!Total!!Male!!Other!!With earnings!!$50,000 to $54,999",int,B20005E,0,"B20005E_044EA,B20005E_044M,B20005E_044MA",NA,NA
B25032C_005E,Estimate!!Total!!3 or 4,int,B25032C,0,"B25032C_005EA,B25032C_005M,B25032C_005MA",NA,NA
B08505A_001E,Estimate!!Total,int,B08505A,0,"B08505A_001EA,B08505A_001M,B08505A_001MA",NA,NA
B19056_001E,Estimate!!Total,int,B19056,0,"B19056_001EA,B19056_001M,B19056_001MA",NA,NA
B05007_066E,Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered before 1980,int,B05007,0,"B05007_066EA,B05007_066M,B05007_066MA",NA,NA
B20001_016E,"Estimate!!Total!!Male!!$40,000 to $44,999",int,B20001,0,"B20001_016EA,B20001_016M,B20001_016MA",NA,NA
B20001_014E,"Estimate!!Total!!Male!!$30,000 to $34,999",int,B20001,0,"B20001_014EA,B20001_014M,B20001_014MA",NA,NA
B20005E_043E,"Estimate!!Total!!Male!!Other!!With earnings!!$45,000 to $49,999",int,B20005E,0,"B20005E_043EA,B20005E_043M,B20005E_043MA",NA,NA
B06004HPR_004E,Estimate!!Total!!Native; born elsewhere,int,B06004HPR,0,"B06004HPR_004EA,B06004HPR_004M,B06004HPR_004MA",NA,NA
B25032C_008E,Estimate!!Total!!20 to 49,int,B25032C,0,"B25032C_008EA,B25032C_008M,B25032C_008MA",NA,NA
B24091_002E,Estimate!!Total!!Private for-profit wage and salary workers,int,B24091,0,"B24091_002EA,B24091_002M,B24091_002MA",NA,NA
B25127_070E,Estimate!!Total!!Renter occupied!!Built 1939 or earlier!!5 to 19,int,B25127,0,"B25127_070EA,B25127_070M,B25127_070MA",NA,NA
B05007_067E,Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered before 1980!!Naturalized U.S. citizen,int,B05007,0,"B05007_067EA,B05007_067M,B05007_067MA",NA,NA
B20001_015E,"Estimate!!Total!!Male!!$35,000 to $39,999",int,B20001,0,"B20001_015EA,B20001_015M,B20001_015MA",NA,NA
B20001_013E,"Estimate!!Total!!Male!!$25,000 to $29,999",int,B20001,0,"B20001_013EA,B20001_013M,B20001_013MA",NA,NA
B25032C_007E,Estimate!!Total!!10 to 19,int,B25032C,0,"B25032C_007EA,B25032C_007M,B25032C_007MA",NA,NA
B06004HPR_005E,Estimate!!Total!!Foreign born,int,B06004HPR,0,"B06004HPR_005EA,B06004HPR_005M,B06004HPR_005MA",NA,NA
B20005E_042E,"Estimate!!Total!!Male!!Other!!With earnings!!$40,000 to $44,999",int,B20005E,0,"B20005E_042EA,B20005E_042M,B20005E_042MA",NA,NA
B24091_001E,Estimate!!Total,int,B24091,0,"B24091_001EA,B24091_001M,B24091_001MA",NA,NA
B25127_071E,Estimate!!Total!!Renter occupied!!Built 1939 or earlier!!20 to 49,int,B25127,0,"B25127_071EA,B25127_071M,B25127_071MA",NA,NA
B05007_068E,Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered before 1980!!Not a U.S. citizen,int,B05007,0,"B05007_068EA,B05007_068M,B05007_068MA",NA,NA
B20005E_041E,"Estimate!!Total!!Male!!Other!!With earnings!!$35,000 to $39,999",int,B20005E,0,"B20005E_041EA,B20005E_041M,B20005E_041MA",NA,NA
B20001_012E,"Estimate!!Total!!Male!!$22,500 to $24,999",int,B20001,0,"B20001_012EA,B20001_012M,B20001_012MA",NA,NA
B24126_434E,Estimate!!Total!!Machinists,int,B24126,0,"B24126_434EA,B24126_434M,B24126_434MA",NA,NA
B05007_069E,Estimate!!Total!!Latin America!!South America,int,B05007,0,"B05007_069EA,B05007_069M,B05007_069MA",NA,NA
B08505A_005E,Estimate!!Total!!Walked,int,B08505A,0,"B08505A_005EA,B08505A_005M,B08505A_005MA",NA,NA
B25032C_009E,Estimate!!Total!!50 or more,int,B25032C,0,"B25032C_009EA,B25032C_009M,B25032C_009MA",NA,NA
B20005E_040E,"Estimate!!Total!!Male!!Other!!With earnings!!$30,000 to $34,999",int,B20005E,0,"B20005E_040EA,B20005E_040M,B20005E_040MA",NA,NA
