"GEOID","TRACT4","TRACT2"
"04013020200","0202","00"
"04013030321","0303","21"
"04013050600","0506","00"
"04013082003","0820","03"
"04013082004","0820","04"
"04013082005","0820","05"
"04013082006","0820","06"
"04013103800","1038","00"
"04013104500","1045","00"
"04013105600","1056","00"
"04013105700","1057","00"
"04013107100","1071","00"
"04013107200","1072","00"
"04013108600","1086","00"
"04013108800","1088","00"
"04013108900","1089","00"
"04013109800","1098","00"
"04013110000","1100","00"
"04013110700","1107","00"
"04013111400","1114","00"
"04013111500","1115","00"
"04013111600","1116","00"
"04013112200","1122","00"
"04013112300","1123","00"
"04013112400","1124","00"
"04013112600","1126","00"
"04013113200","1132","00"
"04013113600","1136","00"
"04013114300","1143","00"
"04013114400","1144","00"
"04013114700","1147","00"
"04013115800","1158","00"
"04013319100","3191","00"
"04013420300","4203","00"
"04013522710","5227","10"
"04013623200","6232","00"
"04013723300","7233","00"
