GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,Asian_1990,Asian_2000,Asian_2010
G0400130010101,2010,Arizona,4,Maricopa County,13,10101,0,7,61
G0400130010102,2010,Arizona,4,Maricopa County,13,10102,10,9,108
G0400130030401,2010,Arizona,4,Maricopa County,13,30401,9,12,65
G0400130030402,2010,Arizona,4,Maricopa County,13,30402,7,14,27
G0400130040502,2010,Arizona,4,Maricopa County,13,40502,16,20,24
G0400130040506,2010,Arizona,4,Maricopa County,13,40506,4,10,14
G0400130040507,2010,Arizona,4,Maricopa County,13,40507,11,21,35
G0400130040512,2010,Arizona,4,Maricopa County,13,40512,0,6,12
G0400130040513,2010,Arizona,4,Maricopa County,13,40513,7,11,15
G0400130040514,2010,Arizona,4,Maricopa County,13,40514,3,13,22
G0400130040515,2010,Arizona,4,Maricopa County,13,40515,3,6.93,22
G0400130040516,2010,Arizona,4,Maricopa County,13,40516,0,0,26
G0400130040517,2010,Arizona,4,Maricopa County,13,40517,14,12,83
G0400130040518,2010,Arizona,4,Maricopa County,13,40518,4,8.07,50
G0400130040519,2010,Arizona,4,Maricopa County,13,40519,0,0,103
G0400130040520,2010,Arizona,4,Maricopa County,13,40520,0,0,159
G0400130040521,2010,Arizona,4,Maricopa County,13,40521,0,0,103
G0400130040522,2010,Arizona,4,Maricopa County,13,40522,0,31,39
G0400130040523,2010,Arizona,4,Maricopa County,13,40523,0,5,42
G0400130040524,2010,Arizona,4,Maricopa County,13,40524,0,0,22
G0400130040525,2010,Arizona,4,Maricopa County,13,40525,0,0,36
G0400130040526,2010,Arizona,4,Maricopa County,13,40526,0,2,18
G0400130040527,2010,Arizona,4,Maricopa County,13,40527,0,1,78
G0400130040528,2010,Arizona,4,Maricopa County,13,40528,0.07,33,48
G0400130040529,2010,Arizona,4,Maricopa County,13,40529,0,9,38
G0400130040530,2010,Arizona,4,Maricopa County,13,40530,2.93,62,63
G0400130040531,2010,Arizona,4,Maricopa County,13,40531,0,46,37
G0400130050603,2010,Arizona,4,Maricopa County,13,50603,10,3,7
G0400130050604,2010,Arizona,4,Maricopa County,13,50604,3,3,10
G0400130050605,2010,Arizona,4,Maricopa County,13,50605,0,2,130
G0400130050606,2010,Arizona,4,Maricopa County,13,50606,4,11,204
G0400130050607,2010,Arizona,4,Maricopa County,13,50607,1,7,131
G0400130050608,2010,Arizona,4,Maricopa County,13,50608,3.98,1,142
G0400130050609,2010,Arizona,4,Maricopa County,13,50609,0,0,102
G0400130050610,2010,Arizona,4,Maricopa County,13,50610,3.02,8,132
G0400130050611,2010,Arizona,4,Maricopa County,13,50611,0,0,70
G0400130050701,2010,Arizona,4,Maricopa County,13,50701,1,2,38
G0400130050702,2010,Arizona,4,Maricopa County,13,50702,43,22,34
G0400130060801,2010,Arizona,4,Maricopa County,13,60801,2,57,31
