,state,county,tract,Total,White,Black,AmericanIndian_Alaskn,Asian,PacificIsland,Other_Race,Hispanic_Latino
1,4,13,10100,4120,4032,8,26,16,1,18,84
2,4,13,20201,824,27,4,755,1,0,20,89
3,4,13,20202,6403,1233,27,3366,6,3,1076,1081
4,4,13,30302,4499,3818,111,56,31,8,325,704
5,4,13,30303,5533,4302,155,114,63,12,617,1267
6,4,13,30304,6523,5834,144,79,112,9,216,557
7,4,13,30307,2977,2588,28,23,61,4,193,484
8,4,13,30308,2881,2637,59,15,76,4,47,172
9,4,13,30309,4899,4477,79,20,78,5,131,426
10,4,13,30310,3085,2522,136,68,38,14,170,468
11,4,13,30311,3517,3361,43,4,32,3,26,121
12,4,13,30312,5191,5045,39,6,20,5,45,105
13,4,13,30313,2821,2788,7,3,8,1,6,35
14,4,13,30314,4256,3541,151,68,171,8,209,477
15,4,13,30315,6976,5741,142,142,109,12,640,1717
16,4,13,30316,4625,4218,95,35,35,2,135,393
17,4,13,30318,2774,2525,64,22,37,8,70,244
18,4,13,30319,6020,5346,111,48,66,2,260,661
19,4,13,30322,4191,3695,99,24,73,9,163,491
20,4,13,30323,4169,3670,70,34,45,6,199,562
21,4,13,30324,3408,3116,58,24,67,4,68,279
22,4,13,30325,3453,3171,41,24,39,3,76,297
23,4,13,30326,4681,3928,115,44,250,3,187,507
24,4,13,30327,4042,3344,173,53,144,3,175,489
25,4,13,30328,7229,6322,183,74,157,10,316,689
26,4,13,30329,3744,3241,306,106,37,2,9,488
27,4,13,30330,4681,4063,53,45,40,5,348,826
28,4,13,30331,2116,1908,44,33,30,0,68,193
29,4,13,30332,3683,3270,60,19,70,6,162,437
30,4,13,30333,2777,2584,33,5,69,3,39,112
31,4,13,30334,5364,4790,116,49,82,9,186,478
32,4,13,30335,6152,5582,85,30,115,3,195,608
33,4,13,30336,3698,3329,89,27,81,2,85,397
34,4,13,30337,5162,4623,121,52,97,4,143,371
35,4,13,30338,6941,6186,142,19,251,7,178,534
36,4,13,30339,2285,2130,30,5,29,2,43,133
37,4,13,30340,6060,5489,125,38,83,14,181,546
38,4,13,30341,3183,3138,25,4,9,0,2,24
39,4,13,30342,8786,7707,227,122,142,4,390,1277
40,4,13,30343,9466,9053,60,24,97,7,114,376
41,4,13,30344,5083,4617,63,32,117,2,127,427
42,4,13,30345,5261,4770,87,22,183,2,68,327
43,4,13,30346,5695,4900,127,15,365,8,140,464
44,4,13,30347,3304,2970,89,18,79,2,100,231
45,4,13,30348,5291,4752,110,20,190,4,97,333
46,4,13,30349,3262,2845,60,8,179,0,90,305
47,4,13,30350,1865,1602,27,12,120,2,47,150
48,4,13,30351,3203,2760,106,23,113,4,105,354
49,4,13,30352,3254,2984,95,29,57,1,36,340
50,4,13,30354,4391,3997,67,29,121,5,68,287
51,4,13,30355,5822,5202,73,58,42,3,274,642
52,4,13,30356,8125,7501,117,46,193,9,119,471
53,4,13,30357,6369,5863,97,19,238,6,59,257
54,4,13,30358,4071,3814,17,3,101,0,70,212
55,4,13,30359,2553,2302,74,6,91,4,38,170
56,4,13,30360,1614,1478,18,11,42,1,49,137
57,4,13,30361,7393,6769,98,49,107,8,197,544
58,4,13,30363,5748,5433,52,25,96,0,72,245
59,4,13,30364,2228,2102,19,2,30,0,40,120
60,4,13,30365,2426,2298,26,8,38,0,29,99
61,4,13,30366,2521,2414,11,6,34,0,27,134
62,4,13,30367,4452,4199,37,9,42,4,93,326
63,4,13,30368,2716,2669,17,2,16,0,2,28
64,4,13,30369,1405,1364,7,1,0,0,22,76
65,4,13,30371,12310,11358,215,38,133,5,349,927
66,4,13,30372,5273,4908,56,27,87,2,96,322
67,4,13,30373,2915,2624,67,9,92,1,51,249
68,4,13,30374,1503,1335,30,6,55,0,35,111
69,4,13,30375,2289,2165,17,18,20,0,35,137
70,4,13,30377,4110,3957,16,11,16,1,54,202
71,4,13,30378,5247,5001,32,40,30,5,77,261
72,4,13,30379,3198,2816,74,27,110,0,56,227
73,4,13,30380,3182,2602,87,40,22,3,336,589
74,4,13,30400,6282,6060,17,7,26,1,107,296
75,4,13,40502,4656,4246,16,61,20,5,222,552
76,4,13,40505,8858,8759,41,4,30,2,1,48
77,4,13,40506,5780,5704,29,2,10,6,12,29
78,4,13,40507,6485,6416,33,2,21,0,1,45
79,4,13,40508,7184,6412,287,34,108,5,206,695
80,4,13,40509,15675,13819,115,133,63,5,1292,2483
81,4,13,40510,5560,5431,41,10,42,2,6,40
82,4,13,40511,2557,2524,8,5,3,1,6,22
83,4,13,50601,6993,5472,352,148,16,10,821,1785
84,4,13,50602,4838,3942,64,68,16,11,570,1176
85,4,13,50603,2196,1640,41,40,3,0,417,712
86,4,13,50700,5726,3844,174,99,24,1,1433,2646
87,4,13,60800,6668,4701,203,40,57,3,1493,4888
