GISJOIN,STATE,COUNTY,TRACTA,HousingUnits_1990,HousingUnits_2000,HousingUnits_2010,VacantForSale_1990,ForSalePercent_1990,VacantForSale_2000,ForSalePercent_2000,VacantForSale_2010,ForSalePercent_2010,Forsale_2015,HousingUnits_2015,ForSalePercent_2015
G0400130010101,Arizona,Maricopa County,10101,646.95,1411.00,3137.00,41.00,6.34,14.00,0.99,135.00,4.30,122.00,3137.00,3.89
G0400130010102,Arizona,Maricopa County,10102,399.05,1564.00,3253.00,3.00,0.75,52.00,3.32,183.00,5.63,0.00,3253.00,0.00
G0400130030401,Arizona,Maricopa County,30401,1282.12,2050.21,2927.00,53.83,4.20,35.00,1.71,108.00,3.69,33.00,2927.00,1.13
G0400130030402,Arizona,Maricopa County,30402,1069.92,1572.79,2095.00,18.00,1.68,20.00,1.27,79.00,3.77,0.00,2095.00,0.00
G0400130040502,Arizona,Maricopa County,40502,2430.82,2421.00,2696.00,28.17,1.16,33.00,1.36,80.00,2.97,0.00,2696.00,0.00
G0400130040506,Arizona,Maricopa County,40506,3835.00,4149.00,4236.00,66.00,1.72,109.00,2.63,117.00,2.76,0.00,4236.00,0.00
G0400130040507,Arizona,Maricopa County,40507,3115.84,4410.00,4689.00,58.95,1.89,106.00,2.40,102.00,2.18,18.00,4689.00,0.38
G0400130040512,Arizona,Maricopa County,40512,95.74,1168.00,1162.00,12.60,13.16,13.00,1.11,15.00,1.29,21.00,1162.00,1.81
G0400130040513,Arizona,Maricopa County,40513,1137.42,2147.03,2172.00,61.45,5.40,20.00,0.93,47.00,2.16,0.00,2172.00,0.00
G0400130040514,Arizona,Maricopa County,40514,2183.00,2248.00,2229.00,34.00,1.56,31.00,1.38,52.00,2.33,0.00,2229.00,0.00
G0400130040515,Arizona,Maricopa County,40515,962.70,1917.34,2625.00,17.53,1.82,19.00,0.99,103.00,3.92,0.00,2625.00,0.00
G0400130040516,Arizona,Maricopa County,40516,12.09,55.32,1962.00,0.00,0.00,0.99,1.79,96.00,4.89,273.00,1962.00,13.91
G0400130040517,Arizona,Maricopa County,40517,1173.94,1493.23,2967.00,43.27,3.69,26.01,1.74,116.00,3.91,0.00,2967.00,0.00
G0400130040518,Arizona,Maricopa County,40518,630.04,1094.11,2777.00,21.03,3.34,26.00,2.38,128.00,4.61,121.00,2777.00,4.36
G0400130040519,Arizona,Maricopa County,40519,20.00,1.00,2266.00,3.00,15.00,0.00,0.00,72.00,3.18,0.00,2266.00,0.00
G0400130040520,Arizona,Maricopa County,40520,1.00,0.00,1483.00,0.00,0.00,0.00,0.00,112.00,7.55,61.00,1483.00,4.11
G0400130040521,Arizona,Maricopa County,40521,37.00,34.00,1612.00,1.00,2.70,0.00,0.00,113.00,7.01,40.00,1612.00,2.48
G0400130040522,Arizona,Maricopa County,40522,1.13,2658.97,2935.00,0.00,0.00,16.00,0.60,44.00,1.50,15.00,2935.00,0.51
G0400130040523,Arizona,Maricopa County,40523,2.28,585.00,2164.00,0.00,0.00,4.00,0.68,39.00,1.80,82.00,2164.00,3.79
G0400130040524,Arizona,Maricopa County,40524,0.00,4.00,1015.00,0.00,0.00,0.00,0.00,12.00,1.18,0.00,1015.00,0.00
G0400130040525,Arizona,Maricopa County,40525,0.00,0.41,2116.00,0.00,0.00,0.12,29.27,28.00,1.32,0.00,2116.00,0.00
G0400130040526,Arizona,Maricopa County,40526,65.18,629.00,1632.00,1.13,1.73,29.00,4.61,28.00,1.72,51.00,1632.00,3.13
G0400130040527,Arizona,Maricopa County,40527,1463.82,1810.59,2742.00,13.87,0.95,61.88,3.42,83.00,3.03,25.00,2742.00,0.91
G0400130040528,Arizona,Maricopa County,40528,2.16,3143.98,4437.00,0.21,9.72,74.00,2.35,69.00,1.56,31.00,4437.00,0.70
G0400130040529,Arizona,Maricopa County,40529,9.78,890.02,2345.00,0.01,0.10,12.00,1.35,74.00,3.16,42.00,2345.00,1.79
G0400130040530,Arizona,Maricopa County,40530,78.06,1464.00,1518.00,8.78,11.25,14.00,0.96,38.00,2.50,0.00,1518.00,0.00
G0400130040531,Arizona,Maricopa County,40531,379.00,2040.00,2737.00,42.00,11.08,81.00,3.97,128.00,4.68,0.00,2737.00,0.00
G0400130050603,Arizona,Maricopa County,50603,632.42,890.00,2061.00,6.00,0.95,12.00,1.35,148.00,7.18,0.00,2061.00,0.00
G0400130050604,Arizona,Maricopa County,50604,616.58,774.00,1436.00,8.00,1.30,9.00,1.16,68.00,4.74,37.00,1436.00,2.58
G0400130050605,Arizona,Maricopa County,50605,97.01,248.00,2382.00,1.00,1.03,6.00,2.42,207.00,8.69,58.00,2382.00,2.43
G0400130050606,Arizona,Maricopa County,50606,316.02,655.05,2495.00,9.00,2.85,16.00,2.44,143.00,5.73,5.00,2495.00,0.20
G0400130050607,Arizona,Maricopa County,50607,266.82,290.00,2405.00,2.00,0.75,4.00,1.38,109.00,4.53,104.00,2405.00,4.32
G0400130050608,Arizona,Maricopa County,50608,667.28,524.00,2722.00,9.13,1.37,19.00,3.63,134.00,4.92,23.00,2722.00,0.84
G0400130050609,Arizona,Maricopa County,50609,8.74,3.00,2114.00,1.68,19.22,0.00,0.00,99.00,4.68,26.00,2114.00,1.23
G0400130050610,Arizona,Maricopa County,50610,763.26,614.00,2623.00,10.96,1.44,9.00,1.47,131.00,4.99,22.00,2623.00,0.84
G0400130050611,Arizona,Maricopa County,50611,286.90,296.00,1511.00,8.23,2.87,2.00,0.68,96.00,6.35,30.00,1511.00,1.99
G0400130050701,Arizona,Maricopa County,50701,578.00,572.00,1907.00,6.00,1.04,6.00,1.05,132.00,6.92,52.00,1907.00,2.73
G0400130050702,Arizona,Maricopa County,50702,1301.00,1432.00,2059.00,7.00,0.54,20.00,1.40,74.00,3.59,77.00,2059.00,3.74
G0400130060801,Arizona,Maricopa County,60801,2960.00,2596.00,2833.00,27.00,0.91,20.00,0.77,31.00,1.09,13.00,2833.00,0.46
G0400130060802,Arizona,Maricopa County,60802,2.00,0.00,737.00,0.00,0.00,0.00,0.00,41.00,5.56,0.00,737.00,0.00
G0400130060901,Arizona,Maricopa County,60901,134.00,235.00,1543.00,20.00,14.93,15.00,6.38,63.00,4.08,70.00,1543.00,4.54
G0400130060902,Arizona,Maricopa County,60902,851.00,744.00,1112.00,6.00,0.71,0.00,0.00,22.00,1.98,0.00,1112.00,0.00
G0400130060903,Arizona,Maricopa County,60903,88.37,617.96,1546.00,1.33,1.51,1.90,0.31,53.00,3.43,0.00,1546.00,0.00
G0400130060904,Arizona,Maricopa County,60904,204.63,428.04,1145.00,2.67,1.30,16.10,3.76,39.00,3.41,63.00,1145.00,5.50
G0400130061009,Arizona,Maricopa County,61009,34.12,32.00,3528.00,0.00,0.00,1.00,3.13,111.00,3.15,13.00,3528.00,0.37
G0400130061010,Arizona,Maricopa County,61010,1432.00,1629.00,2260.00,29.00,2.03,21.00,1.29,77.00,3.41,0.00,2260.00,0.00
