STATE00,COUNTY00,GEOID00,HU00,AREA00,AREALAND00,STATE10,COUNTY10,GEOID10,HU10,TRACT00,TRACT10,PART00,PART10,POP00,POP10,POPPCT00,POPPCT10,CHANGE,MERGE,SPLIT,,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,ARELANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,HU10PT,HUPCT00,HUPCT10
4,13,4013010100,6391,2794980077,2762741625,4,13,4013010101,3137,10100,10101,P,W,9716,5073,52.21,100,47.79,,TRUE,,54316160,54285834,54316160,54285834,1.94,1.96,100,100,5073,3137,49.08,100
4,13,4013010100,6391,2794980077,2762741625,4,13,4013010102,3253,10100,10102,P,W,9716,4640,47.76,100,52.24,,TRUE,,2740265531,2708433980,2740265531,2708433980,98.04,98.03,100,100,4640,3253,50.9,100
4,13,4013010100,6391,2794980077,2762741625,4,13,4013941300,2609,10100,941300,P,P,9716,6293,0.03,0.05,0.02,,,,218380934,211256593,398386,21811,0.01,0,0.18,0.01,3,1,0.02,0.04
4,13,4013020201,308,100902863,99968323,4,13,4013941200,308,20201,941200,W,W,971,971,100,100,0,,,,100902863,99968323,100902863,99968323,100,100,100,100,971,308,100,100
4,13,4013020202,2608,217954205,211205325,4,13,4013216818,4425,20202,216818,P,P,6290,6644,0,0,0,,,,8420236,8420236,3436,3436,0,0,0.04,0.04,0,0,0,0
4,13,4013020202,2608,217954205,211205325,4,13,4013216821,3283,20202,216821,P,P,6290,5737,0,0,0,,,,15650395,15649417,145885,145885,0.07,0.07,0.93,0.93,0,0,0,0
4,13,4013020202,2608,217954205,211205325,4,13,4013216833,2284,20202,216833,P,P,6290,4498,0,0,0,,,,3234758,3234758,12252,12252,0.01,0.01,0.38,0.38,0,0,0,0
4,13,4013020202,2608,217954205,211205325,4,13,4013218300,2820,20202,218300,P,P,6290,3953,0,0,0,,,,2244217,2238683,50044,50044,0.02,0.02,2.23,2.24,0,0,0,0
4,13,4013020202,2608,217954205,211205325,4,13,4013318400,2396,20202,318400,P,P,6290,4650,0,0,0,,,,8626008,8388218,59238,59238,0.03,0.03,0.69,0.71,0,0,0,0
4,13,4013020202,2608,217954205,211205325,4,13,4013421201,2670,20202,421201,P,P,6290,4806,0,0,0,,,,5455731,4566480,6509,1933,0,0,0.12,0.04,0,0,0,0
4,13,4013020202,2608,217954205,211205325,4,13,4013941300,2609,20202,941300,P,P,6290,6293,100,99.95,0.05,,,,218380934,211256593,217676841,210932537,99.87,99.87,99.68,99.85,6290,2608,100,99.96
4,13,4013030302,1684,2295572,2295572,4,13,4013618600,1684,30302,618600,W,W,4241,4241,100,100,0,,,,2295572,2295572,2295572,2295572,100,100,100,100,4241,1684,100,100
4,13,4013030303,2334,1258093,1258093,4,13,4013618800,2334,30303,618800,W,W,5074,5074,100,100,0,,,,1258093,1258093,1258093,1258093,100,100,100,100,5074,2334,100,100
4,13,4013030304,3055,2571882,2571791,4,13,4013618900,3055,30304,618900,W,W,6215,6215,100,100,0,,,,2571882,2571791,2571882,2571791,100,100,100,100,6215,3055,100,100
4,13,4013030307,1034,1258864,1258864,4,13,4013618700,1034,30307,618700,W,W,2859,2859,100,100,0,,,,1258864,1258864,1258864,1258864,100,100,100,100,2859,1034,100,100
4,13,4013030308,1569,1289387,1289387,4,13,4013619000,1569,30308,619000,W,W,3068,3068,100,100,0,,,,1289387,1289387,1289387,1289387,100,100,100,100,3068,1569,100,100
4,13,4013030309,1719,2708685,2694151,4,13,4013618100,1719,30309,618100,W,W,4347,4347,100,100,0,,,,2708685,2694151,2708685,2694151,100,100,100,100,4347,1719,100,100
4,13,4013030310,1556,326526,326526,4,13,4013619100,1556,30310,619100,W,W,2954,2954,100,100,0,,,,326526,326526,326526,326526,100,100,100,100,2954,1556,100,100
4,13,4013030311,2297,3264069,3239956,4,13,4013617500,2297,30311,617500,W,W,3316,3316,100,100,0,,,,3264069,3239956,3264069,3239956,100,100,100,100,3316,2297,100,100
4,13,4013030312,4358,6772519,6729345,4,13,4013617400,4368,30312,617400,W,P,6798,6813,100,99.78,0.22,,,,6822711,6779537,6772519,6729345,100,100,99.26,99.26,6798,4358,100,99.77
4,13,4013030313,1841,2627817,2612458,4,13,4013615400,1841,30313,615400,P,W,2679,2679,100,100,0,,,,2627370,2612011,2627370,2612011,99.98,99.98,100,100,2679,1841,100,100
4,13,4013030313,1841,2627817,2612458,4,13,4013615500,2252,30313,615500,P,P,2679,2817,0,0,0,,,,2617223,2613679,447,447,0.02,0.02,0.02,0.02,0,0,0,0
4,13,4013030314,2290,969175,969175,4,13,4013619200,2290,30314,619200,W,W,4453,4453,100,100,0,,,,969175,969175,969175,969175,100,100,100,100,4453,2290,100,100
4,13,4013030315,4317,2605256,2605256,4,13,4013619300,2112,30315,619300,P,W,8241,3972,48.2,100,51.8,,,,1309965,1309965,1309965,1309965,50.28,50.28,100,100,3972,2112,48.92,100
4,13,4013030315,4317,2605256,2605256,4,13,4013619400,2205,30315,619400,P,W,8241,4269,51.8,100,48.2,,,,1295291,1295291,1295291,1295291,49.72,49.72,100,100,4269,2205,51.08,100
4,13,4013030316,1834,1973897,1973897,4,13,4013614800,1834,30316,614800,W,W,4154,4154,100,100,0,,,,1973897,1973897,1973897,1973897,100,100,100,100,4154,1834,100,100
4,13,4013030318,1701,2036772,2036772,4,13,4013614700,1491,30318,614700,P,P,3438,2612,0,0,0,,,,14979617,14920811,24409,24409,1.2,1.2,0.16,0.16,0,0,0,0
4,13,4013030318,1701,2036772,2036772,4,13,4013616500,1701,30318,616500,P,W,3438,3438,100,100,0,,,,2012363,2012363,2012363,2012363,98.8,98.8,100,100,3438,1701,100,100
4,13,4013030319,2228,2537638,2537638,4,13,4013616600,2228,30319,616600,W,W,5696,5696,100,100,0,,,,2537638,2537638,2537638,2537638,100,100,100,100,5696,2228,100,100
4,13,4013030322,1608,1305200,1305200,4,13,4013618200,1608,30322,618200,W,W,3851,3851,100,100,0,,,,1305200,1305200,1305200,1305200,100,100,100,100,3851,1608,100,100
