"STATEFP00","COUNTYFP00","TRACT4","TRACT2","MISSING","TRACTCE00","GEOID_1990"
"04","013","0101","00",FALSE,"010100","010100"
"04","013","0202","01",TRUE,"020201",NA
"04","013","0202","02",TRUE,"020202",NA
"04","013","0303","02",FALSE,"030302","030302"
"04","013","0303","03",FALSE,"030303","030303"
"04","013","0303","04",FALSE,"030304","030304"
"04","013","0303","07",TRUE,"030307",NA
"04","013","0303","08",TRUE,"030308",NA
"04","013","0303","09",FALSE,"030309","030309"
"04","013","0303","10",TRUE,"030310",NA
"04","013","0303","11",FALSE,"030311","030311"
"04","013","0303","12",FALSE,"030312","030312"
"04","013","0303","13",FALSE,"030313","030313"
"04","013","0303","14",FALSE,"030314","030314"
"04","013","0303","15",FALSE,"030315","030315"
"04","013","0303","16",TRUE,"030316",NA
"04","013","0303","18",FALSE,"030318","030318"
"04","013","0303","19",FALSE,"030319","030319"
"04","013","0303","22",FALSE,"030322","030322"
"04","013","0303","23",FALSE,"030323","030323"
"04","013","0303","24",TRUE,"030324",NA
"04","013","0303","25",FALSE,"030325","030325"
"04","013","0303","26",FALSE,"030326","030326"
"04","013","0303","27",TRUE,"030327",NA
"04","013","0303","28",TRUE,"030328",NA
"04","013","0303","29",FALSE,"030329","030329"
"04","013","0303","30",FALSE,"030330","030330"
"04","013","0303","31",FALSE,"030331","030331"
"04","013","0303","32",FALSE,"030332","030332"
"04","013","0303","33",FALSE,"030333","030333"
"04","013","0303","34",FALSE,"030334","030334"
"04","013","0303","35",FALSE,"030335","030335"
"04","013","0303","36",FALSE,"030336","030336"
"04","013","0303","37",FALSE,"030337","030337"
"04","013","0303","38",FALSE,"030338","030338"
"04","013","0303","39",FALSE,"030339","030339"
"04","013","0303","40",FALSE,"030340","030340"
"04","013","0303","41",FALSE,"030341","030341"
"04","013","0303","42",FALSE,"030342","030342"
"04","013","0303","43",FALSE,"030343","030343"
"04","013","0303","44",TRUE,"030344",NA
"04","013","0303","45",TRUE,"030345",NA
"04","013","0303","46",TRUE,"030346",NA
"04","013","0303","47",TRUE,"030347",NA
"04","013","0303","48",TRUE,"030348",NA
"04","013","0303","49",TRUE,"030349",NA
"04","013","0303","50",TRUE,"030350",NA
"04","013","0303","51",TRUE,"030351",NA
"04","013","0303","52",TRUE,"030352",NA
"04","013","0303","54",TRUE,"030354",NA
"04","013","0303","55",TRUE,"030355",NA
"04","013","0303","56",TRUE,"030356",NA
"04","013","0303","57",TRUE,"030357",NA
"04","013","0303","58",TRUE,"030358",NA
"04","013","0303","59",TRUE,"030359",NA
"04","013","0303","60",TRUE,"030360",NA
"04","013","0303","61",TRUE,"030361",NA
"04","013","0303","63",TRUE,"030363",NA
"04","013","0303","64",TRUE,"030364",NA
"04","013","0303","65",TRUE,"030365",NA
"04","013","0303","66",TRUE,"030366",NA
"04","013","0303","67",TRUE,"030367",NA
"04","013","0303","68",TRUE,"030368",NA
"04","013","0303","69",TRUE,"030369",NA
"04","013","0303","71",TRUE,"030371",NA
"04","013","0303","72",TRUE,"030372",NA
"04","013","0303","73",TRUE,"030373",NA
"04","013","0303","74",TRUE,"030374",NA
"04","013","0303","75",TRUE,"030375",NA
"04","013","0303","77",TRUE,"030377",NA
"04","013","0303","78",TRUE,"030378",NA
"04","013","0303","79",TRUE,"030379",NA
"04","013","0303","80",TRUE,"030380",NA
"04","013","0304","00",FALSE,"030400","030400"
"04","013","0405","02",FALSE,"040502","040502"
"04","013","0405","05",FALSE,"040505","040505"
"04","013","0405","06",FALSE,"040506","040506"
"04","013","0405","07",FALSE,"040507","040507"
"04","013","0405","08",FALSE,"040508","040508"
"04","013","0405","09",FALSE,"040509","040509"
"04","013","0405","10",TRUE,"040510",NA
"04","013","0405","11",TRUE,"040511",NA
"04","013","0506","01",TRUE,"050601",NA
"04","013","0506","02",TRUE,"050602",NA
"04","013","0506","03",TRUE,"050603",NA
"04","013","0507","00",FALSE,"050700","050700"
"04","013","0608","00",FALSE,"060800","060800"
"04","013","0609","00",FALSE,"060900","060900"
"04","013","0610","02",FALSE,"061002","061002"
"04","013","0610","03",FALSE,"061003","061003"
"04","013","0610","04",FALSE,"061004","061004"
"04","013","0610","05",FALSE,"061005","061005"
"04","013","0610","06",FALSE,"061006","061006"
"04","013","0610","07",FALSE,"061007","061007"
"04","013","0610","08",FALSE,"061008","061008"
"04","013","0610","09",TRUE,"061009",NA
"04","013","0611","00",FALSE,"061100","061100"
"04","013","0612","00",FALSE,"061200","061200"
"04","013","0613","00",FALSE,"061300","061300"
"04","013","0614","00",FALSE,"061400","061400"
"04","013","0715","03",FALSE,"071503","071503"
"04","013","0715","04",FALSE,"071504","071504"
"04","013","0715","05",FALSE,"071505","071505"
"04","013","0715","06",FALSE,"071506","071506"
"04","013","0715","07",FALSE,"071507","071507"
"04","013","0715","08",FALSE,"071508","071508"
"04","013","0715","09",FALSE,"071509","071509"
"04","013","0715","10",FALSE,"071510","071510"
"04","013","0715","11",TRUE,"071511",NA
"04","013","0715","12",TRUE,"071512",NA
"04","013","0715","13",TRUE,"071513",NA
"04","013","0716","00",FALSE,"071600","071600"
"04","013","0717","00",FALSE,"071700","071700"
"04","013","0718","01",FALSE,"071801","071801"
"04","013","0718","02",FALSE,"071802","071802"
"04","013","0719","03",FALSE,"071903","071903"
"04","013","0719","04",FALSE,"071904","071904"
"04","013","0719","06",FALSE,"071906","071906"
"04","013","0719","08",FALSE,"071908","071908"
"04","013","0719","09",FALSE,"071909","071909"
"04","013","0719","10",FALSE,"071910","071910"
"04","013","0719","11",FALSE,"071911","071911"
"04","013","0820","02",FALSE,"082002","082002"
"04","013","0820","07",TRUE,"082007",NA
"04","013","0820","08",TRUE,"082008",NA
"04","013","0820","09",TRUE,"082009",NA
"04","013","0820","10",TRUE,"082010",NA
"04","013","0820","11",TRUE,"082011",NA
"04","013","0820","12",TRUE,"082012",NA
"04","013","0820","13",TRUE,"082013",NA
"04","013","0820","14",TRUE,"082014",NA
"04","013","0820","15",TRUE,"082015",NA
"04","013","0821","00",FALSE,"082100","082100"
"04","013","0822","01",FALSE,"082201","082201"
"04","013","0822","02",FALSE,"082202","082202"
"04","013","0923","04",FALSE,"092304","092304"
"04","013","0923","05",FALSE,"092305","092305"
"04","013","0923","06",FALSE,"092306","092306"
"04","013","0923","07",FALSE,"092307","092307"
"04","013","0923","08",FALSE,"092308","092308"
"04","013","0923","09",FALSE,"092309","092309"
"04","013","0923","10",TRUE,"092310",NA
"04","013","0924","00",FALSE,"092400","092400"
"04","013","0925","00",FALSE,"092500","092500"
"04","013","0926","00",FALSE,"092600","092600"
"04","013","0927","03",FALSE,"092703","092703"
"04","013","0927","04",FALSE,"092704","092704"
"04","013","0927","05",FALSE,"092705","092705"
"04","013","0927","06",FALSE,"092706","092706"
"04","013","0927","07",FALSE,"092707","092707"
"04","013","0927","08",FALSE,"092708","092708"
"04","013","0927","09",FALSE,"092709","092709"
"04","013","0927","10",TRUE,"092710",NA
"04","013","0927","11",TRUE,"092711",NA
"04","013","0927","12",TRUE,"092712",NA
"04","013","0927","13",TRUE,"092713",NA
"04","013","0927","14",TRUE,"092714",NA
"04","013","0928","00",FALSE,"092800","092800"
"04","013","0929","00",FALSE,"092900","092900"
"04","013","0930","00",FALSE,"093000","093000"
"04","013","0931","01",FALSE,"093101","093101"
"04","013","0931","02",FALSE,"093102","093102"
"04","013","0931","04",TRUE,"093104",NA
"04","013","1032","05",FALSE,"103205","103205"
"04","013","1032","06",FALSE,"103206","103206"
"04","013","1032","07",FALSE,"103207","103207"
"04","013","1032","08",FALSE,"103208","103208"
"04","013","1032","09",FALSE,"103209","103209"
"04","013","1032","10",FALSE,"103210","103210"
"04","013","1032","11",FALSE,"103211","103211"
"04","013","1032","12",FALSE,"103212","103212"
"04","013","1032","14",FALSE,"103214","103214"
"04","013","1032","15",FALSE,"103215","103215"
