GISJOIN,STATE,COUNTY,TRACTA,TotalEthnicityCount_1990,TotalEthnicityCount_2000,TotalEthnicityCount_2010,NotHispanicLatino_1990,NotHispanicPercent_1990,NotHispanicLatino_2000,NotHispanicPercent_2000,NotHispanicLatino_2010,NotHispanicPercent_2010,HispanicLatino_1990,HispanicPercent_1990,HispanicLatino_2000,HispanicPercent_2000,HispanicLatino_2010,HispanicPercent_2010,NotHispanic_2015,Hispanic_2015,HispanicPercent_2015,Total_2015.y
G0400130071903,Arizona,Maricopa County,71903,5897,6483,6306,5074,86.04,5246,80.92,4628,73.39,823,13.96,1237,19.08,1678,26.61,45,0,0,45
G0400130107201,Arizona,Maricopa County,107201,3135,4703,4301,2547,81.24,2446,52.01,1861,43.27,588,18.76,2257,47.99,2440,56.73,123,0,0,76
G0400130420214,Arizona,Maricopa County,420214,2908,3233,3511,2782,95.67,2972,91.93,2906,82.77,126,4.33,261,8.07,605,17.23,4332,0,0,4332
G0400130422510,Arizona,Maricopa County,422510,611,3075,3416,594,97.22,2849,92.65,2942,86.12,17,2.78,226,7.35,474,13.88,10,0,0,6
G0400130814600,Arizona,Maricopa County,814600,279,3855,4461,229,82.08,3241,84.07,3593,80.54,50,17.92,614,15.93,868,19.46,2942,0,0,2942
G0400130815800,Arizona,Maricopa County,815800,41,1,4083,3,7.32,1,100,3397,83.2,38,92.68,0,0,686,16.8,5334,0,0,5334
G0400130216838,Arizona,Maricopa County,216838,2062.53,5083.64,4791,1978.84,95.94,4891.7,96.22,4507,94.07,83.69,4.06,191.94,3.78,284,5.93,2429,12,0.5,2419
G0400130422644,Arizona,Maricopa County,422644,0.32,288.64,7287,0.32,100,281.78,97.62,6472,88.82,0,0,6.86,2.38,815,11.18,4928,29,0.71,4105
G0400130940700,Arizona,Maricopa County,940700,133,143,151,126,94.74,140,97.9,142,94.04,7,5.26,3,2.1,9,5.96,2688,20,0.74,2698
G0400130420708,Arizona,Maricopa County,420708,2220,3125,3754,2159,97.25,2889,92.45,2993,79.73,61,2.75,236,7.55,761,20.27,3482,26,0.79,3308
G0400130815700,Arizona,Maricopa County,815700,19.8,470,5525,4.95,25,402,85.53,4551,82.37,14.85,75,68,14.47,974,17.63,6241,53,0.85,6213
G0400130103611,Arizona,Maricopa County,103611,4067.54,4732,5121,3914.81,96.25,4527,95.67,4683,91.45,152.73,3.75,205,4.33,438,8.55,3518,31,0.87,3549
G0400130216851,Arizona,Maricopa County,216851,357.73,2710.32,4143,351.55,98.27,2648.55,97.72,4006,96.69,6.18,1.73,61.77,2.28,137,3.31,4141,34,1,3387
G0400130116719,Arizona,Maricopa County,116719,162,6774,6404,143,88.27,6142,90.67,5521,86.21,19,11.73,632,9.33,883,13.79,5241,59,1.12,5261
G0400130420213,Arizona,Maricopa County,420213,861,1798,1753,859,99.77,1786,99.33,1737,99.09,2,0.23,12,0.67,16,0.91,2743,34,1.22,2777
G0400130104302,Arizona,Maricopa County,104302,3511,3897,3209,3268,93.08,3331,85.48,2398,74.73,243,6.92,566,14.52,811,25.27,1203,11,1.37,801
G0400130319705,Arizona,Maricopa County,319705,3491,3459,3412,2978,85.31,2651,76.64,2411,70.66,513,14.69,808,23.36,1001,29.34,6167,89,1.43,6236
G0400130611500,Arizona,Maricopa County,611500,12.55,433.31,5639,12.55,100,405.21,93.52,5196,92.14,0,0,28.1,6.48,443,7.86,4758,58,1.43,4049
G0400130612000,Arizona,Maricopa County,612000,87.76,320.27,2710,81.75,93.15,302.27,94.38,2536,93.58,6.01,6.85,18,5.62,174,6.42,5817,77,1.58,4860
G0400130814300,Arizona,Maricopa County,814300,674,3901,4040,509,75.52,3350,85.88,3399,84.13,165,24.48,551,14.12,641,15.87,2820,47,1.65,2854
G0400130116400,Arizona,Maricopa County,116400,3597,4711,5604,1389,38.62,1226,26.02,1424,25.41,2208,61.38,3485,73.98,4180,74.59,2825,39,1.67,2335
