GISJOIN,STATE,COUNTY,TRACTA,TotalEthnicityCount_1990,TotalEthnicityCount_2000,TotalEthnicityCount_2010,NotHispanicLatino_1990,NotHispanicPercent_1990,NotHispanicLatino_2000,NotHispanicPercent_2000,NotHispanicLatino_2010,NotHispanicPercent_2010,HispanicLatino_1990,HispanicPercent_1990,HispanicLatino_2000,HispanicPercent_2000,HispanicLatino_2010,HispanicPercent_2010,NotHispanic_2015,Hispanic_2015,HispanicPercent_2015
G0400130010101,Arizona,Maricopa County,10101,649.90,2031.00,5073.00,646.90,99.54,2000.00,98.47,4912.00,96.83,3.00,0.46,31.00,1.53,161.00,3.17,3297.00,1594.00,98.88
G0400130010102,Arizona,Maricopa County,10102,696.10,2084.00,4640.00,679.10,97.56,2036.00,97.70,4471.00,96.36,17.00,2.44,48.00,2.30,169.00,3.64,4516.00,1207.00,59.58
G0400130030401,Arizona,Maricopa County,30401,1445.21,3009.53,4283.00,1424.71,98.58,2942.49,97.77,4172.00,97.41,20.50,1.42,67.04,2.23,111.00,2.59,4251.00,1015.00,53.56
G0400130030402,Arizona,Maricopa County,30402,2132.85,3272.47,3895.00,2004.86,94.00,3043.51,93.00,3575.00,91.78,127.99,6.00,228.96,7.00,320.00,8.22,5460.00,1658.00,60.38
G0400130040502,Arizona,Maricopa County,40502,4540.40,4656.00,4861.00,4258.62,93.79,4104.00,88.14,4102.00,84.39,281.78,6.21,552.00,11.86,759.00,15.61,916.00,1176.00,169.21
G0400130040506,Arizona,Maricopa County,40506,5708.00,5780.00,5209.00,5703.00,99.91,5751.00,99.50,5134.00,98.56,5.00,0.09,29.00,0.50,75.00,1.44,424.00,1658.00,274.96
G0400130040507,Arizona,Maricopa County,40507,4836.66,6485.00,6097.00,4825.43,99.77,6440.00,99.31,6026.00,98.84,11.23,0.23,45.00,0.69,71.00,1.16,1453.00,3668.00,231.42
G0400130040512,Arizona,Maricopa County,40512,120.43,1874.00,1690.00,118.92,98.75,1868.00,99.68,1674.00,99.05,1.51,1.25,6.00,0.32,16.00,0.95,4287.00,1317.00,70.24
G0400130040513,Arizona,Maricopa County,40513,1773.90,3472.72,3031.00,1764.65,99.48,3447.72,99.28,3014.00,99.44,9.25,0.52,25.00,0.72,17.00,0.56,3482.00,1338.00,77.70
G0400130040514,Arizona,Maricopa County,40514,3558.00,3513.00,3104.00,3552.00,99.83,3496.00,99.52,3060.00,98.58,6.00,0.17,17.00,0.48,44.00,1.42,2255.00,893.00,78.89
G0400130040515,Arizona,Maricopa County,40515,1927.28,3794.22,4792.00,1387.74,72.01,2904.03,76.54,3549.00,74.06,539.54,27.99,890.19,23.46,1243.00,25.94,7502.00,1270.00,150.30
G0400130040516,Arizona,Maricopa County,40516,27.07,134.06,2856.00,21.20,78.32,113.28,84.50,2640.00,92.44,5.87,21.68,20.78,15.50,216.00,7.56,5056.00,2282.00,107.14
G0400130040517,Arizona,Maricopa County,40517,2922.42,4004.25,7621.00,2239.74,76.64,2724.03,68.03,5448.00,71.49,682.68,23.36,1280.22,31.97,2173.00,28.51,5134.00,682.00,30.12
G0400130040518,Arizona,Maricopa County,40518,1349.60,2423.46,6679.00,1242.46,92.06,2186.65,90.23,5597.00,83.80,107.14,7.94,236.81,9.77,1082.00,16.20,4695.00,2866.00,138.66
G0400130040519,Arizona,Maricopa County,40519,60.00,2.00,3595.00,49.00,81.67,0.00,0.00,3429.00,95.38,11.00,18.33,2.00,100.00,166.00,4.62,2035.00,937.00,75.14
G0400130040520,Arizona,Maricopa County,40520,0.00,0.00,4142.00,0.00,0.00,0.00,0.00,3708.00,89.52,0.00,0.00,0.00,0.00,434.00,10.48,3205.00,1574.00,97.70
G0400130040521,Arizona,Maricopa County,40521,76.00,82.00,4560.00,68.00,89.47,61.00,74.39,3930.00,86.18,8.00,10.53,21.00,25.61,630.00,13.82,1938.00,4020.00,247.23
G0400130040522,Arizona,Maricopa County,40522,0.25,4261.28,4181.00,0.25,100.00,4239.28,99.48,4131.00,98.80,0.00,0.00,22.00,0.52,50.00,1.20,1805.00,481.00,57.60
G0400130040523,Arizona,Maricopa County,40523,0.00,972.00,3300.00,0.00,0.00,962.00,98.97,3214.00,97.39,0.00,0.00,10.00,1.03,86.00,2.61,2933.00,675.00,41.51
G0400130040524,Arizona,Maricopa County,40524,0.00,3.00,1474.00,0.00,0.00,3.00,100.00,1435.00,97.35,0.00,0.00,0.00,0.00,39.00,2.65,1820.00,272.00,34.30
G0400130040525,Arizona,Maricopa County,40525,0.00,0.75,3046.00,0.00,0.00,0.75,100.00,2989.00,98.13,0.00,0.00,0.00,0.00,57.00,1.87,3596.00,630.00,45.26
G0400130040526,Arizona,Maricopa County,40526,25.51,764.00,2365.00,25.51,100.00,753.00,98.56,2312.00,97.76,0.00,0.00,11.00,1.44,53.00,2.24,3418.00,159.00,15.84
G0400130040527,Arizona,Maricopa County,40527,510.49,1789.25,4184.00,497.49,97.45,1778.25,99.39,3793.00,90.65,13.00,2.55,11.00,0.61,391.00,9.35,4413.00,877.00,53.35
G0400130040528,Arizona,Maricopa County,40528,4.55,4405.98,6212.00,4.29,94.29,4374.98,99.30,6125.00,98.60,0.26,5.71,31.00,0.70,87.00,1.40,3472.00,600.00,41.67
G0400130040529,Arizona,Maricopa County,40529,33.14,1154.02,3222.00,11.13,33.58,1145.02,99.22,3193.00,99.10,22.01,66.42,9.00,0.78,29.00,0.90,3022.00,636.00,51.08
G0400130040530,Arizona,Maricopa County,40530,188.31,3870.00,3559.00,177.58,94.30,3395.00,87.73,2973.00,83.53,10.73,5.70,475.00,12.27,586.00,16.47,5098.00,1508.00,56.23
G0400130040531,Arizona,Maricopa County,40531,364.00,3314.00,3395.00,363.00,99.73,3094.00,93.36,3033.00,89.34,1.00,0.27,220.00,6.64,362.00,10.66,4570.00,263.00,12.59
G0400130050603,Arizona,Maricopa County,50603,1299.14,2196.00,4536.00,928.14,71.44,1484.00,67.58,2897.00,63.87,371.00,28.56,712.00,32.42,1639.00,36.13,1560.00,1101.00,91.37
G0400130050604,Arizona,Maricopa County,50604,1452.86,2117.00,3727.00,1172.86,80.73,1417.00,66.93,2295.00,61.58,280.00,19.27,700.00,33.07,1432.00,38.42,3753.00,1097.00,68.91
G0400130050605,Arizona,Maricopa County,50605,287.01,792.00,5828.00,227.01,79.09,626.00,79.04,4222.00,72.44,60.00,20.91,166.00,20.96,1606.00,27.56,2420.00,694.00,57.17
G0400130050606,Arizona,Maricopa County,50606,950.05,1929.21,6799.00,855.01,90.00,1619.01,83.92,5324.00,78.31,95.04,10.00,310.20,16.08,1475.00,21.69,3241.00,465.00,37.65
G0400130050607,Arizona,Maricopa County,50607,684.96,2829.00,6505.00,491.14,71.70,1909.00,67.48,3881.00,59.66,193.82,28.30,920.00,32.52,2624.00,40.34,6244.00,1445.00,58.60
G0400130050608,Arizona,Maricopa County,50608,1336.66,1330.00,7163.00,1207.08,90.31,1139.00,85.64,4455.00,62.19,129.58,9.69,191.00,14.36,2708.00,37.81,2811.00,2724.00,140.27
G0400130050609,Arizona,Maricopa County,50609,12.05,9.00,4874.00,12.05,100.00,9.00,100.00,3158.00,64.79,0.00,0.00,0.00,0.00,1716.00,35.21,5512.00,1410.00,68.31
G0400130050610,Arizona,Maricopa County,50610,902.86,1942.00,7915.00,787.85,87.26,1580.00,81.36,4558.00,57.59,115.01,12.74,362.00,18.64,3357.00,42.41,2474.00,738.00,57.66
G0400130050611,Arizona,Maricopa County,50611,814.46,883.00,4477.00,507.87,62.36,571.00,64.67,2555.00,57.07,306.59,37.64,312.00,35.33,1922.00,42.93,2158.00,1443.00,138.88
G0400130050701,Arizona,Maricopa County,50701,1451.00,1723.00,5092.00,968.00,66.71,861.00,49.97,2593.00,50.92,483.00,33.29,862.00,50.03,2499.00,49.08,4699.00,311.00,11.98
G0400130050702,Arizona,Maricopa County,50702,3134.00,4003.00,5280.00,2174.00,69.37,2219.00,55.43,2479.00,46.95,960.00,30.63,1784.00,44.57,2801.00,53.05,3338.00,68.00,5.38
G0400130060801,Arizona,Maricopa County,60801,5037.00,6668.00,5832.00,1645.00,32.66,1780.00,26.69,1940.00,33.26,3392.00,67.34,4888.00,73.31,3892.00,66.74,1149.00,414.00,65.30
G0400130060802,Arizona,Maricopa County,60802,3.00,0.00,1975.00,3.00,100.00,0.00,0.00,1265.00,64.05,0.00,0.00,0.00,0.00,710.00,35.95,3507.00,844.00,44.59
G0400130060901,Arizona,Maricopa County,60901,404.00,649.00,4640.00,260.00,64.36,398.00,61.33,2925.00,63.04,144.00,35.64,251.00,38.67,1715.00,36.96,4890.00,1357.00,59.15
G0400130060902,Arizona,Maricopa County,60902,3176.00,3002.00,3842.00,368.00,11.59,244.00,8.13,847.00,22.05,2808.00,88.41,2758.00,91.87,2995.00,77.95,4632.00,1283.00,58.91
G0400130060903,Arizona,Maricopa County,60903,339.82,1973.67,4983.00,68.30,20.10,892.05,45.20,2134.00,42.83,271.52,79.90,1081.62,54.80,2849.00,57.17,2784.00,592.00,40.63
G0400130060904,Arizona,Maricopa County,60904,731.18,1363.33,3527.00,90.70,12.40,502.95,36.89,1469.00,41.65,640.48,87.60,860.38,63.11,2058.00,58.35,3016.00,1218.00,83.48
G0400130061009,Arizona,Maricopa County,61009,105.32,96.00,8318.00,79.12,75.12,74.00,77.08,5890.00,70.81,26.20,24.88,22.00,22.92,2428.00,29.19,1403.00,1109.00,162.37
G0400130061010,Arizona,Maricopa County,61010,3300.00,3805.00,4638.00,3194.00,96.79,3597.00,94.53,4016.00,86.59,106.00,3.21,208.00,5.47,622.00,13.41,3653.00,919.00,50.41
G0400130061011,Arizona,Maricopa County,61011,807.32,1175.01,5705.00,739.39,91.59,933.10,79.41,3801.00,66.63,67.93,8.41,241.91,20.59,1904.00,33.37,3413.00,543.00,37.01
G0400130061012,Arizona,Maricopa County,61012,932.00,4493.00,7680.00,650.00,69.74,3488.00,77.63,5708.00,74.32,282.00,30.26,1005.00,22.37,1972.00,25.68,2093.00,202.00,14.21
G0400130061013,Arizona,Maricopa County,61013,20.00,14.00,5709.00,16.00,80.00,14.00,100.00,4041.00,70.78,4.00,20.00,0.00,0.00,1668.00,29.22,5052.00,1323.00,58.93
G0400130061014,Arizona,Maricopa County,61014,20.00,7.00,4905.00,5.00,25.00,5.00,71.43,3149.00,64.20,15.00,75.00,2.00,28.57,1756.00,35.80,6098.00,499.00,20.65
G0400130061015,Arizona,Maricopa County,61015,1.00,5881.00,5757.00,1.00,100.00,4685.00,79.66,3930.00,68.26,0.00,0.00,1196.00,20.34,1827.00,31.74,6880.00,430.00,13.86
G0400130061016,Arizona,Maricopa County,61016,299.28,114.79,4614.00,165.31,55.24,33.99,29.61,3561.00,77.18,133.97,44.76,80.80,70.39,1053.00,22.82,3049.00,448.00,23.74
G0400130061017,Arizona,Maricopa County,61017,1564.67,0.00,3496.00,1120.68,71.62,0.00,0.00,2231.00,63.82,443.99,28.38,0.00,0.00,1265.00,36.18,1857.00,191.00,18.45
G0400130061018,Arizona,Maricopa County,61018,7.68,2499.18,4660.00,2.88,37.50,2446.35,97.89,4574.00,98.15,4.80,62.50,52.83,2.11,86.00,1.85,3677.00,147.00,7.13
G0400130061019,Arizona,Maricopa County,61019,1085.00,3847.00,3161.00,738.00,68.02,2803.00,72.86,1952.00,61.75,347.00,31.98,1044.00,27.14,1209.00,38.25,1796.00,188.00,18.74
G0400130061020,Arizona,Maricopa County,61020,7.00,295.82,3835.00,6.00,85.71,233.65,78.98,2965.00,77.31,1.00,14.29,62.17,21.02,870.00,22.69,2982.00,104.00,7.22
G0400130061021,Arizona,Maricopa County,61021,0.00,0.00,1753.00,0.00,0.00,0.00,0.00,1252.00,71.42,0.00,0.00,0.00,0.00,501.00,28.58,3548.00,241.00,17.89
G0400130061022,Arizona,Maricopa County,61022,58.00,2411.00,8869.00,39.00,67.24,1775.00,73.62,5558.00,62.67,19.00,32.76,636.00,26.38,3311.00,37.33,3457.00,195.00,14.83
G0400130061023,Arizona,Maricopa County,61023,697.00,1460.00,9200.00,568.00,81.49,1240.00,84.93,5884.00,63.96,129.00,18.51,220.00,15.07,3316.00,36.04,4804.00,84.00,4.72
G0400130061024,Arizona,Maricopa County,61024,422.00,438.00,2177.00,298.00,70.62,315.00,71.92,1304.00,59.90,124.00,29.38,123.00,28.08,873.00,40.10,4300.00,267.00,12.70
G0400130061025,Arizona,Maricopa County,61025,0.00,0.00,7445.00,0.00,#DIV/0!,0.00,0.00,6173.00,82.91,0.00,0.00,0.00,0.00,1272.00,17.09,3545.00,218.00,14.62
G0400130061026,Arizona,Maricopa County,61026,17.00,6.00,5458.00,9.00,52.94,6.00,100.00,4536.00,83.11,8.00,47.06,0.00,0.00,922.00,16.89,5157.00,1144.00,46.13
G0400130061027,Arizona,Maricopa County,61027,0.00,1944.00,5539.00,0.00,#DIV/0!,1688.00,86.83,4625.00,83.50,0.00,0.00,256.00,13.17,914.00,16.50,1852.00,207.00,27.02
G0400130061028,Arizona,Maricopa County,61028,90.00,71.00,2417.00,57.00,63.33,47.00,66.20,1850.00,76.54,33.00,36.67,24.00,33.80,567.00,23.46,3907.00,555.00,35.02
G0400130061029,Arizona,Maricopa County,61029,5.95,2872.00,4905.00,3.00,50.42,2423.00,84.37,3966.00,80.86,2.95,49.58,449.00,15.63,939.00,19.14,1612.00,196.00,24.26
G0400130061030,Arizona,Maricopa County,61030,4.09,33.11,7272.00,0.05,1.22,2.04,6.16,5966.00,82.04,4.04,98.78,31.07,93.84,1306.00,17.96,4650.00,592.00,22.13
G0400130061031,Arizona,Maricopa County,61031,474.91,550.89,3315.00,272.95,57.47,332.96,60.44,2556.00,77.10,201.96,42.53,217.93,39.56,759.00,22.90,3152.00,1297.00,70.99
G0400130061032,Arizona,Maricopa County,61032,28.00,28.00,5579.00,21.00,75.00,5.00,17.86,4513.00,80.89,7.00,25.00,23.00,82.14,1066.00,19.11,2252.00,370.00,32.15
