GISJOIN,STATE,COUNTY,TRACTA,TotalIncome_2010,OnetwentyfivekPlusincome_2010,BelowPoverty_2010,BelowPovertyPercent_2010,HighestIncomePercent_2010,TotalIncome_2015,OnetwentyfivekPlusIncome_2015,BelowPoverty_2015,BelowPovertyPercent_2015
G0400130010101,Arizona,Maricopa County,10101,1591,189,156,10,11.88,1612,67,214,13.28
G0400130010102,Arizona,Maricopa County,10102,2015,323,142,7.05,16.03,2026,380,157,7.75
G0400130030401,Arizona,Maricopa County,30401,1909,545,34,1.78,28.55,1895,533,109,5.75
G0400130030402,Arizona,Maricopa County,30402,2651,293,407,15.35,11.05,2746,289,489,17.81
G0400130040502,Arizona,Maricopa County,40502,634,29,83,13.09,4.57,695,68,140,20.14
G0400130040506,Arizona,Maricopa County,40506,478,0,197,41.21,0,603,38,234,38.81
G0400130040507,Arizona,Maricopa County,40507,1570,87,504,32.1,5.54,1585,27,668,42.15
G0400130040512,Arizona,Maricopa County,40512,1923,492,258,13.42,25.59,1875,452,83,4.43
G0400130040513,Arizona,Maricopa County,40513,1737,384,234,13.47,22.11,1722,369,155,9
G0400130040514,Arizona,Maricopa County,40514,1229,37,502,40.85,3.01,1132,14,720,63.6
G0400130040515,Arizona,Maricopa County,40515,694,124,159,22.91,17.87,845,239,187,22.13
G0400130040516,Arizona,Maricopa County,40516,2314,336,118,5.1,14.52,2130,269,217,10.19
G0400130040517,Arizona,Maricopa County,40517,2350,946,250,10.64,40.26,2264,697,97,4.28
G0400130040518,Arizona,Maricopa County,40518,2009,264,180,8.96,13.14,2067,183,235,11.37
G0400130040519,Arizona,Maricopa County,40519,1096,130,106,9.67,11.86,1247,123,85,6.82
G0400130040520,Arizona,Maricopa County,40520,1649,99,130,7.88,6,1611,124,279,17.32
G0400130040521,Arizona,Maricopa County,40521,1666,151,319,19.15,9.06,1626,91,383,23.55
G0400130040522,Arizona,Maricopa County,40522,701,128,43,6.13,18.26,835,137,93,11.14
G0400130040523,Arizona,Maricopa County,40523,1695,232,379,22.36,13.69,1626,226,231,14.21
G0400130040524,Arizona,Maricopa County,40524,756,189,40,5.29,25,793,172,57,7.19
G0400130040525,Arizona,Maricopa County,40525,1422,412,131,9.21,28.97,1392,342,160,11.49
G0400130040526,Arizona,Maricopa County,40526,1074,608,20,1.86,56.61,1004,564,75,7.47
G0400130040527,Arizona,Maricopa County,40527,1601,400,205,12.8,24.98,1644,511,219,13.32
G0400130040528,Arizona,Maricopa County,40528,1544,325,216,13.99,21.05,1440,280,115,7.99
G0400130040529,Arizona,Maricopa County,40529,1214,328,154,12.69,27.02,1245,295,133,10.68
G0400130040530,Arizona,Maricopa County,40530,2607,208,461,17.68,7.98,2682,170,681,25.39
G0400130040531,Arizona,Maricopa County,40531,2079,709,217,10.44,34.1,2089,640,66,3.16
G0400130050603,Arizona,Maricopa County,50603,1184,109,342,28.89,9.21,1205,82,393,32.61
G0400130050604,Arizona,Maricopa County,50604,1538,253,157,10.21,16.45,1592,316,135,8.48
G0400130050605,Arizona,Maricopa County,50605,1191,137,231,19.4,11.5,1214,270,207,17.05
G0400130050606,Arizona,Maricopa County,50606,1269,180,120,9.46,14.18,1235,180,238,19.27
G0400130050607,Arizona,Maricopa County,50607,2104,638,83,3.94,30.32,2466,831,232,9.41
G0400130050608,Arizona,Maricopa County,50608,1944,60,422,21.71,3.09,1942,164,290,14.93
G0400130050609,Arizona,Maricopa County,50609,1341,254,135,10.07,18.94,2064,384,188,9.11
