GISJOIN,STATE,COUNTY,TRACTA,HousingUnits_1990,HousingUnits_2000,HousingUnits_2010,VacantForSale_1990,ForSalePercent_1990,VacantForSale_2000,ForSalePercent_2000,VacantForSale_2010,ForSalePercent_2010,Forsale_2015,HousingUnits_2015,ForSalePercent_2015
G0400130010101,Arizona,Maricopa County,10101,646.95,1411,3137,41,6.34,14,0.99,135,4.3,122,3137,3.89
G0400130010102,Arizona,Maricopa County,10102,399.05,1564,3253,3,0.75,52,3.32,183,5.63,0,3253,0
G0400130030401,Arizona,Maricopa County,30401,1282.12,2050.21,2927,53.83,4.2,35,1.71,108,3.69,33,2927,1.13
G0400130030402,Arizona,Maricopa County,30402,1069.92,1572.79,2095,18,1.68,20,1.27,79,3.77,0,2095,0
G0400130040502,Arizona,Maricopa County,40502,2430.82,2421,2696,28.17,1.16,33,1.36,80,2.97,0,2696,0
G0400130040506,Arizona,Maricopa County,40506,3835,4149,4236,66,1.72,109,2.63,117,2.76,0,4236,0
G0400130040507,Arizona,Maricopa County,40507,3115.84,4410,4689,58.95,1.89,106,2.4,102,2.18,18,4689,0.38
G0400130040512,Arizona,Maricopa County,40512,95.74,1168,1162,12.6,13.16,13,1.11,15,1.29,21,1162,1.81
G0400130040513,Arizona,Maricopa County,40513,1137.42,2147.03,2172,61.45,5.4,20,0.93,47,2.16,0,2172,0
G0400130040514,Arizona,Maricopa County,40514,2183,2248,2229,34,1.56,31,1.38,52,2.33,0,2229,0
G0400130040515,Arizona,Maricopa County,40515,962.7,1917.34,2625,17.53,1.82,19,0.99,103,3.92,0,2625,0
G0400130040516,Arizona,Maricopa County,40516,12.09,55.32,1962,0,0,0.99,1.79,96,4.89,273,1962,13.91
G0400130040517,Arizona,Maricopa County,40517,1173.94,1493.23,2967,43.27,3.69,26.01,1.74,116,3.91,0,2967,0
G0400130040518,Arizona,Maricopa County,40518,630.04,1094.11,2777,21.03,3.34,26,2.38,128,4.61,121,2777,4.36
G0400130040519,Arizona,Maricopa County,40519,20,1,2266,3,15,0,0,72,3.18,0,2266,0
G0400130040520,Arizona,Maricopa County,40520,1,0,1483,0,0,0,0,112,7.55,61,1483,4.11
G0400130040521,Arizona,Maricopa County,40521,37,34,1612,1,2.7,0,0,113,7.01,40,1612,2.48
G0400130040522,Arizona,Maricopa County,40522,1.13,2658.97,2935,0,0,16,0.6,44,1.5,15,2935,0.51
G0400130040523,Arizona,Maricopa County,40523,2.28,585,2164,0,0,4,0.68,39,1.8,82,2164,3.79
G0400130040524,Arizona,Maricopa County,40524,0,4,1015,0,0,0,0,12,1.18,0,1015,0
