name,label,concept,predicateType,group,limit,attributes,required
B25007_001E,Estimate!!Total,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_001M,B25007_001MA,B25007_001EA",NA
B25007_002E,Estimate!!Total!!Owner occupied,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_002M,B25007_002MA,B25007_002EA",NA
B25007_003E,Estimate!!Total!!Owner occupied!!Householder 15 to 24 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_003M,B25007_003MA,B25007_003EA",NA
B25007_004E,Estimate!!Total!!Owner occupied!!Householder 25 to 34 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_004M,B25007_004MA,B25007_004EA",NA
B25007_005E,Estimate!!Total!!Owner occupied!!Householder 35 to 44 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_005M,B25007_005MA,B25007_005EA",NA
B25007_006E,Estimate!!Total!!Owner occupied!!Householder 45 to 54 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_006M,B25007_006MA,B25007_006EA",NA
B25007_007E,Estimate!!Total!!Owner occupied!!Householder 55 to 59 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_007M,B25007_007MA,B25007_007EA",NA
B25007_008E,Estimate!!Total!!Owner occupied!!Householder 60 to 64 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_008M,B25007_008MA,B25007_008EA",NA
B25007_009E,Estimate!!Total!!Owner occupied!!Householder 65 to 74 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_009M,B25007_009MA,B25007_009EA",NA
B25007_010E,Estimate!!Total!!Owner occupied!!Householder 75 to 84 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_010M,B25007_010MA,B25007_010EA",NA
B25007_011E,Estimate!!Total!!Owner occupied!!Householder 85 years and over,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_011M,B25007_011MA,B25007_011EA",NA
B25007_012E,Estimate!!Total!!Renter occupied,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_012M,B25007_012MA,B25007_012EA",NA
B25007_013E,Estimate!!Total!!Renter occupied!!Householder 15 to 24 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_013M,B25007_013MA,B25007_013EA",NA
B25007_014E,Estimate!!Total!!Renter occupied!!Householder 25 to 34 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_014M,B25007_014MA,B25007_014EA",NA
B25007_015E,Estimate!!Total!!Renter occupied!!Householder 35 to 44 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_015M,B25007_015MA,B25007_015EA",NA
B25007_016E,Estimate!!Total!!Renter occupied!!Householder 45 to 54 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_016M,B25007_016MA,B25007_016EA",NA
B25007_017E,Estimate!!Total!!Renter occupied!!Householder 55 to 59 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_017M,B25007_017MA,B25007_017EA",NA
B25007_018E,Estimate!!Total!!Renter occupied!!Householder 60 to 64 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_018M,B25007_018MA,B25007_018EA",NA
B25007_019E,Estimate!!Total!!Renter occupied!!Householder 65 to 74 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_019M,B25007_019MA,B25007_019EA",NA
B25007_020E,Estimate!!Total!!Renter occupied!!Householder 75 to 84 years,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_020M,B25007_020MA,B25007_020EA",NA
B25007_021E,Estimate!!Total!!Renter occupied!!Householder 85 years and over,TENURE BY AGE OF HOUSEHOLDER,int,B25007,0,"B25007_021M,B25007_021MA,B25007_021EA",NA
