name,label,concept,predicateType,group,limit,attributes,required
B15003_001E,Estimate!!Total,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_001M,B15003_001MA,B15003_001EA",NA
B15003_002E,Estimate!!Total!!No schooling completed,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_002M,B15003_002MA,B15003_002EA",NA
B15003_003E,Estimate!!Total!!Nursery school,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_003M,B15003_003MA,B15003_003EA",NA
B15003_004E,Estimate!!Total!!Kindergarten,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_004M,B15003_004MA,B15003_004EA",NA
B15003_005E,Estimate!!Total!!1st grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_005M,B15003_005MA,B15003_005EA",NA
B15003_006E,Estimate!!Total!!2nd grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_006M,B15003_006MA,B15003_006EA",NA
B15003_007E,Estimate!!Total!!3rd grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_007M,B15003_007MA,B15003_007EA",NA
B15003_008E,Estimate!!Total!!4th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_008M,B15003_008MA,B15003_008EA",NA
B15003_009E,Estimate!!Total!!5th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_009M,B15003_009MA,B15003_009EA",NA
B15003_010E,Estimate!!Total!!6th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_010M,B15003_010MA,B15003_010EA",NA
B15003_011E,Estimate!!Total!!7th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_011M,B15003_011MA,B15003_011EA",NA
B15003_012E,Estimate!!Total!!8th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_012M,B15003_012MA,B15003_012EA",NA
B15003_013E,Estimate!!Total!!9th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_013M,B15003_013MA,B15003_013EA",NA
B15003_014E,Estimate!!Total!!10th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_014M,B15003_014MA,B15003_014EA",NA
B15003_015E,Estimate!!Total!!11th grade,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_015M,B15003_015MA,B15003_015EA",NA
B15003_016E,"Estimate!!Total!!12th grade, no diploma",EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_016M,B15003_016MA,B15003_016EA",NA
B15003_017E,Estimate!!Total!!Regular high school diploma,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_017M,B15003_017MA,B15003_017EA",NA
B15003_018E,Estimate!!Total!!GED or alternative credential,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_018M,B15003_018MA,B15003_018EA",NA
B15003_019E,"Estimate!!Total!!Some college, less than 1 year",EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_019M,B15003_019MA,B15003_019EA",NA
B15003_020E,"Estimate!!Total!!Some college, 1 or more years, no degree",EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_020M,B15003_020MA,B15003_020EA",NA
B15003_021E,Estimate!!Total!!Associate's degree,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_021M,B15003_021MA,B15003_021EA",NA
B15003_022E,Estimate!!Total!!Bachelor's degree,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_022M,B15003_022MA,B15003_022EA",NA
B15003_023E,Estimate!!Total!!Master's degree,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_023M,B15003_023MA,B15003_023EA",NA
B15003_024E,Estimate!!Total!!Professional school degree,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_024M,B15003_024MA,B15003_024EA",NA
B15003_025E,Estimate!!Total!!Doctorate degree,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,int,B15003,0,"B15003_025M,B15003_025MA,B15003_025EA",NA
