name,label,concept,predicateType,group,limit,attributes,required
B25085_001E,Estimate!!Total,PRICE ASKED,int,B25085,0,"B25085_001EA,B25085_001M,B25085_001MA",NA
B25085_002E,"Estimate!!Total!!Less than $10,000",PRICE ASKED,int,B25085,0,"B25085_002EA,B25085_002M,B25085_002MA",NA
B25085_003E,"Estimate!!Total!!$10,000 to $14,999",PRICE ASKED,int,B25085,0,"B25085_003EA,B25085_003M,B25085_003MA",NA
B25085_004E,"Estimate!!Total!!$15,000 to $19,999",PRICE ASKED,int,B25085,0,"B25085_004EA,B25085_004M,B25085_004MA",NA
B25085_005E,"Estimate!!Total!!$20,000 to $24,999",PRICE ASKED,int,B25085,0,"B25085_005EA,B25085_005M,B25085_005MA",NA
B25085_006E,"Estimate!!Total!!$25,000 to $29,999",PRICE ASKED,int,B25085,0,"B25085_006EA,B25085_006M,B25085_006MA",NA
B25085_007E,"Estimate!!Total!!$30,000 to $34,999",PRICE ASKED,int,B25085,0,"B25085_007EA,B25085_007M,B25085_007MA",NA
B25085_008E,"Estimate!!Total!!$35,000 to $39,999",PRICE ASKED,int,B25085,0,"B25085_008EA,B25085_008M,B25085_008MA",NA
B25085_009E,"Estimate!!Total!!$40,000 to $49,999",PRICE ASKED,int,B25085,0,"B25085_009EA,B25085_009M,B25085_009MA",NA
B25085_010E,"Estimate!!Total!!$50,000 to $59,999",PRICE ASKED,int,B25085,0,"B25085_010EA,B25085_010M,B25085_010MA",NA
B25085_011E,"Estimate!!Total!!$60,000 to $69,999",PRICE ASKED,int,B25085,0,"B25085_011EA,B25085_011M,B25085_011MA",NA
B25085_012E,"Estimate!!Total!!$70,000 to $79,999",PRICE ASKED,int,B25085,0,"B25085_012EA,B25085_012M,B25085_012MA",NA
B25085_013E,"Estimate!!Total!!$80,000 to $89,999",PRICE ASKED,int,B25085,0,"B25085_013EA,B25085_013M,B25085_013MA",NA
B25085_014E,"Estimate!!Total!!$90,000 to $99,999",PRICE ASKED,int,B25085,0,"B25085_014EA,B25085_014M,B25085_014MA",NA
B25085_015E,"Estimate!!Total!!$100,000 to $124,999",PRICE ASKED,int,B25085,0,"B25085_015EA,B25085_015M,B25085_015MA",NA
B25085_016E,"Estimate!!Total!!$125,000 to $149,999",PRICE ASKED,int,B25085,0,"B25085_016EA,B25085_016M,B25085_016MA",NA
B25085_017E,"Estimate!!Total!!$150,000 to $174,999",PRICE ASKED,int,B25085,0,"B25085_017EA,B25085_017M,B25085_017MA",NA
B25085_018E,"Estimate!!Total!!$175,000 to $199,999",PRICE ASKED,int,B25085,0,"B25085_018EA,B25085_018M,B25085_018MA",NA
B25085_019E,"Estimate!!Total!!$200,000 to $249,999",PRICE ASKED,int,B25085,0,"B25085_019EA,B25085_019M,B25085_019MA",NA
B25085_020E,"Estimate!!Total!!$250,000 to $299,999",PRICE ASKED,int,B25085,0,"B25085_020EA,B25085_020M,B25085_020MA",NA
B25085_021E,"Estimate!!Total!!$300,000 to $399,999",PRICE ASKED,int,B25085,0,"B25085_021EA,B25085_021M,B25085_021MA",NA
B25085_022E,"Estimate!!Total!!$400,000 to $499,999",PRICE ASKED,int,B25085,0,"B25085_022EA,B25085_022M,B25085_022MA",NA
B25085_023E,"Estimate!!Total!!$500,000 to $749,999",PRICE ASKED,int,B25085,0,"B25085_023EA,B25085_023M,B25085_023MA",NA
B25085_024E,"Estimate!!Total!!$750,000 to $999,999",PRICE ASKED,int,B25085,0,"B25085_024EA,B25085_024M,B25085_024MA",NA
B25085_025E,"Estimate!!Total!!$1,000,000 or more",PRICE ASKED,int,B25085,0,"B25085_025EA,B25085_025M,B25085_025MA",NA
