Years or Categories,Sex,Categories,Years,Years,Years,Years,Race,Categories,Years,Years,Years,Years,Ethnicity,Categories,Years,Years,Years,Years,Education,Categories,Years,Years,Categories,Years,Home Value,Categories,Years,Categories,Years,Income,Categories,Years,Years,Occupancy,Categories,Years,Years,Years,Years,Vacancy,Categories,Years,Years,Years,Categories,Years,Housing Units,Categories,Years,Years,Years,Travel Time to Work,Categories,Years,Years
Variable Names,,Categories,1990,2000,2010,2015,,Categories,1990,2000,2010,2015,,Categories,1990,2000,2010,2015,,Categories,2010 M,2010 F,Categories,2015,,Categories,2010,Categories,2015,,Categories,2010,2015,,Categories,1990,2000,2010,2015,,Categories,1990,2000,2010,Categories,2015,,Categories,1990,2000,2010,,Categories,2010,2015
Variable Names,,Male,CM0AA1990,CM0AA2000,CM0AA2010,B01001_002E,,White,CM1AA1990,CM1AA2000,CM1AA2010,B02001_002E,,Not Hispanic or Latino,CP4AA1990,CP4AA2000,CP4AA2010,B03003_002E,,No School,B15002_003E,B15002_020E,No School,B15003_002E,,"Less than $10,000",B25075_002E,"Less than $10,000",B25075_002E,,"Less than $10,000",B19001_002E,B19001_002E,,Occupied,CM9AA1990,CM9AA2000,CM9AA2010,B25002_001E,,Vacant- for rent,CN0AA1990,CN0AA2000,CN0AA2010,Vacant- for rent,B25004_002E,,Total Housing Units,CM7AA1990,CM7AA2000,CM7AA2010,,Less than 5 minutes,B08303_002E,B08303_002E
Variable Names,,Female,CM0AB1990,CM0AB2000,CM0AB2010,B01001_026E,,Black or African American,CM1AB1990,CM1AB2000,CM1AB2010,B02001_003E,,Hispanic or Latino,CP4AB1990,CP4AB2000,CP4AB2010,B03003_003E,,Fourth Grade ,B15002_004E,B15002_021E,Pre-k,B15003_003E,,"$10,000 to $14,999",B25075_003E,"$10,000 to $14,999",B25075_003E,,"$10,000 to $14,999",B19001_003E,B19001_003E,,Vacant,CM9AB1990,CM9AB2000,CM9AB2010,B25002_001E,,"Vacant- rented, not occupied",CN0AB1990,CN0AB2000,CN0AB2010,"Vacant- rented, not occupied",B25004_003E,,,,,,,Five to 9 minutes,B08303_003E,B08303_003E
Variable Names,,,,,,,,American Indian and Alaska Native,CM1AC1990,CM1AC2000,CM1AC2010,B02001_004E,,,,,,,,Sixth grade,B15002_005E,B15002_022E,Kindergarten,B15003_004E,,"$15,000 to $19,999",B25075_004E,"$15,000 to $19,999",B25075_004E,,"$15,000 to $19,999",B19001_004E,B19001_004E,,,,,,,,Vacant- for sale,CN0AC1990,CN0AC2000,CN0AC2010,Vacant- for sale,B25004_004E,,,,,,,10 to 14 minutes,B08303_004E,B08303_004E
Variable Names,,,,,,,,Asian,CM1AD1990,CM1AD2000,CM1AD2010,B02001_005E,,,,,,,,Eighth grade ,B15002_006E,B15002_023E,First grade,B15003_005E,,"$20,000 to $24,999",B25075_005E,"$20,000 to $24,999",B25075_005E,,"$20,000 to $24,999",B19001_005E,B19001_005E,,,,,,,,"Vacant- sold, not occupied",CN0AD1990,CN0AD2000,CN0AD2010,"Vacant- sold, not occupied",B25004_005E,,,,,,,15 to 19 minutes,B08303_005E,B08303_005E
Variable Names,,,,,,,,Native Hawaiian and other Pacific Islander,CM1AE1990,CM1AE2000,CM1AE2010,B02001_006E,,,,,,,,Ninth grade,B15002_007E,B15002_024E,Second grade,B15003_006E,,"$25,000 to $29,999",B25075_006E,"$25,000 to $29,999",B25075_006E,,"$25,000 to $29,999",B19001_006E,B19001_006E,,,,,,,,"Vacant- seasonal, recreational, or occasional use",CN0AE1990,CN0AE2000,CN0AE2010,"Vacant- seasonal, recreational, or occasional use",B25004_006E,,,,,,,20 to 24 minutes,B08303_006E,B08303_006E
Variable Names,,,,,,,,Some Other Race,CM1AF1990,CM1AF2000,CM1AF2010,B02001_007E,,,,,,,,Tenth grade,B15002_008E,B15002_025E,Third grade,B15003_007E,,"$30,000 to $34,999",B25075_007E,"$30,000 to $34,999",B25075_007E,,"$30,000 to $34,999",B19001_007E,B19001_007E,,,,,,,,Vacant- for migrant workers,CN0AF1990,CN0AF2000,CN0AF2010,Vacant- for migrant workers,B25004_007E,,,,,,,25 to 29 minutes,B08303_007E,B08303_007E
Variable Names,,,,,,,,Two or more races,CM1AG1990,CM1AG2000,CM1AG2010,B02001_008E,,,,,,,,Eleventh grade,B15002_009E,B15002_026E,Fourth Grade ,B15003_008E,,"$35,000 to $39,999",B25075_008E,"$35,000 to $39,999",B25075_008E,,"$35,000 to $39,999",B19001_008E,B19001_008E,,,,,,,,,,,,Vacant- some other reason,B25004_008E,,,,,,,30 to 34 minutes,B08303_008E,B08303_008E
Variable Names,,,,,,,,,,,,,,,,,,,,Twelfth grade,B15002_010E,B15002_027E,Fifth grade,B15003_009E,,"$40,000 to $49,999",B25075_009E,"$40,000 to $49,999",B25075_009E,,"$40,000 to $44,999",B19001_009E,B19001_009E,,,,,,,,,,,,,,,,,,,,35 to 39 minutes,B08303_009E,B08303_009E
Variable Names,,,,,,,,,,,,,,,,,,,,High school diploma or GED,B15002_011E,B15002_028E,Sixth grade,B15003_010E,,"$50,000 to $59,999",B25075_010E,"$50,000 to $59,999",B25075_010E,,"$45,000 to $49,999",B19001_010E,B19001_010E,,,,,,,,,,,,,,,,,,,,40 to 44 minutes,B08303_010E,B08303_010E
Variable Names,,,,,,,,,,,,,,,,,,,,some college- less than 1 year,B15002_012E,B15002_029E,Seventh grade,B15003_011E,,"$60,000 to $69,999",B25075_011E,"$60,000 to $69,999",B25075_011E,,"$50,000 to $59,999",B19001_011E,B19001_011E,,,,,,,,,,,,,,,,,,,,45 to 59 minutes,B08303_011E,B08303_011E
Variable Names,,,,,,,,,,,,,,,,,,,,some college- 1 year,B15002_013E,B15002_030E,Eighth grade ,B15003_012E,,"$70,000 to $79,999",B25075_012E,"$70,000 to $79,999",B25075_012E,,"$60,000 to $74,999",B19001_012E,B19001_012E,,,,,,,,,,,,,,,,,,,,60 to 89 minutes,B08303_012E,B08303_012E
Variable Names,,,,,,,,,,,,,,,,,,,,Associate's Degree,B15002_014E,B15002_031E,Ninth grade,B15003_013E,,"$80,000 to $89,999",B25075_013E,"$80,000 to $89,999",B25075_013E,,"$75,000 to $99,999",B19001_013E,B19001_013E,,,,,,,,,,,,,,,,,,,,90 minutes +,B08303_013E,B08303_013E
Variable Names,,,,,,,,,,,,,,,,,,,,Bachelor's degree,B15002_015E,B15002_032E,Tenth grade,B15003_014E,,"$90,000 to $99,999",B25075_014E,"$90,000 to $99,999",B25075_014E,,"$100,000 to $124,999",B19001_014E,B19001_014E,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,Master's degree,B15002_016E,B15002_033E,Eleventh grade,B15003_015E,,"$100,000 to $124,999",B25075_015E,"$100,000 to $124,999",B25075_015E,,"$125,000 to $149,999",B19001_015E,B19001_015E,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,Professional school,B15002_017E,B15002_034E,Twelfth grade,B15003_016E,,"$125,000 to $149,999",B25075_016E,"$125,000 to $149,999",B25075_016E,,"$150,000 to $199,999",B19001_016E,B19001_016E,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,Doctoral degree,B15002_018E,B15002_035E,High school diploma,B15003_017E,,"$150,000 to $174,999",B25075_017E,"$150,000 to $174,999",B25075_017E,,"$200,000 +",B19001_017E,B19001_017E,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,,,,GED,B15003_018E,,"$175,000 to $199,999",B25075_018E,"$175,000 to $199,999",B25075_018E,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,,,,some college- less than 1 year,B15003_019E,,"$200,000 to $249,999",B25075_019E,"$200,000 to $249,999",B25075_019E,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,,,,some college- 1 year,B15003_020E,,"$250,000 to $299,999",B25075_020E,"$250,000 to $299,999",B25075_020E,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,,,,Associate's Degree,B15003_021E,,"$300,000 to $399,999",B25075_021E,"$300,000 to $399,999",B25075_021E,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree,B15003_022E,,"$400,000 to $499,999",B25075_022E,"$400,000 to $499,999",B25075_022E,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,,,,Master's degree,B15003_023E,,"$500,000 to $749,999",B25075_023E,"$500,000 to $749,999",B25075_023E,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,,,,Professional school,B15003_024E,,"$750,000 to $999,999",B25075_024E,"$750,000 to $999,999",B25075_024E,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,,,,Doctoral degree,B15003_025E,,"$1,000,000 +",B25075_025E,"$1,000,000 to $1,499,999",B25075_025E,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,500,000 to $1,999,999",B25075_026E,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Names,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,000,000 +",B25075_027E,,,,,,,,,,,,,,,,,,,,,,,,,,
