name,label,concept,predicateType,group,limit,attributes,required
B25075_001E,Estimate!!Total,VALUE,int,B25075,0,"B25075_001EA,B25075_001M,B25075_001MA",NA
B25075_002E,"Estimate!!Total!!Less than $10,000",VALUE,int,B25075,0,"B25075_002EA,B25075_002M,B25075_002MA",NA
B25075_003E,"Estimate!!Total!!$10,000 to $14,999",VALUE,int,B25075,0,"B25075_003EA,B25075_003M,B25075_003MA",NA
B25075_004E,"Estimate!!Total!!$15,000 to $19,999",VALUE,int,B25075,0,"B25075_004EA,B25075_004M,B25075_004MA",NA
B25075_005E,"Estimate!!Total!!$20,000 to $24,999",VALUE,int,B25075,0,"B25075_005EA,B25075_005M,B25075_005MA",NA
B25075_006E,"Estimate!!Total!!$25,000 to $29,999",VALUE,int,B25075,0,"B25075_006EA,B25075_006M,B25075_006MA",NA
B25075_007E,"Estimate!!Total!!$30,000 to $34,999",VALUE,int,B25075,0,"B25075_007EA,B25075_007M,B25075_007MA",NA
B25075_008E,"Estimate!!Total!!$35,000 to $39,999",VALUE,int,B25075,0,"B25075_008EA,B25075_008M,B25075_008MA",NA
B25075_009E,"Estimate!!Total!!$40,000 to $49,999",VALUE,int,B25075,0,"B25075_009EA,B25075_009M,B25075_009MA",NA
B25075_010E,"Estimate!!Total!!$50,000 to $59,999",VALUE,int,B25075,0,"B25075_010EA,B25075_010M,B25075_010MA",NA
B25075_011E,"Estimate!!Total!!$60,000 to $69,999",VALUE,int,B25075,0,"B25075_011EA,B25075_011M,B25075_011MA",NA
B25075_012E,"Estimate!!Total!!$70,000 to $79,999",VALUE,int,B25075,0,"B25075_012EA,B25075_012M,B25075_012MA",NA
B25075_013E,"Estimate!!Total!!$80,000 to $89,999",VALUE,int,B25075,0,"B25075_013EA,B25075_013M,B25075_013MA",NA
B25075_014E,"Estimate!!Total!!$90,000 to $99,999",VALUE,int,B25075,0,"B25075_014EA,B25075_014M,B25075_014MA",NA
B25075_015E,"Estimate!!Total!!$100,000 to $124,999",VALUE,int,B25075,0,"B25075_015EA,B25075_015M,B25075_015MA",NA
B25075_016E,"Estimate!!Total!!$125,000 to $149,999",VALUE,int,B25075,0,"B25075_016EA,B25075_016M,B25075_016MA",NA
B25075_017E,"Estimate!!Total!!$150,000 to $174,999",VALUE,int,B25075,0,"B25075_017EA,B25075_017M,B25075_017MA",NA
B25075_018E,"Estimate!!Total!!$175,000 to $199,999",VALUE,int,B25075,0,"B25075_018EA,B25075_018M,B25075_018MA",NA
B25075_019E,"Estimate!!Total!!$200,000 to $249,999",VALUE,int,B25075,0,"B25075_019EA,B25075_019M,B25075_019MA",NA
B25075_020E,"Estimate!!Total!!$250,000 to $299,999",VALUE,int,B25075,0,"B25075_020EA,B25075_020M,B25075_020MA",NA
B25075_021E,"Estimate!!Total!!$300,000 to $399,999",VALUE,int,B25075,0,"B25075_021EA,B25075_021M,B25075_021MA",NA
B25075_022E,"Estimate!!Total!!$400,000 to $499,999",VALUE,int,B25075,0,"B25075_022EA,B25075_022M,B25075_022MA",NA
B25075_023E,"Estimate!!Total!!$500,000 to $749,999",VALUE,int,B25075,0,"B25075_023EA,B25075_023M,B25075_023MA",NA
B25075_024E,"Estimate!!Total!!$750,000 to $999,999",VALUE,int,B25075,0,"B25075_024EA,B25075_024M,B25075_024MA",NA
B25075_025E,"Estimate!!Total!!$1,000,000 or more",VALUE,int,B25075,0,"B25075_025EA,B25075_025M,B25075_025MA",NA
